id_bien;id_codedep_codecommune;numero_voie;btq;type_voie;nom_voie;surface_carrez;type_local;surface_local;total_piece
20960;59560;22;B;RUE;JEAN BAPTISTE LEBAS;29,73;Appartement;26;1
20961;59603;17;;CHE;DU PRETRE;30,66;Appartement;31;1
20962;60142;2;;RES;DU PARC DES TROIS FORETS;42,21;Appartement;43;2
20963;60175;5;;PL;ROGER SALENGRO;66,92;Appartement;54;4
20964;60612;29;;RUE;DE L'HOTEL DIEU DES MARAIS;53,66;Appartement;48;2
20965;62587;5005;F;RES;L'ARTESIENNE;48,60;Appartement;48;2
20966;62744;4;;RUE;DE LA MALTERIE;40,16;Appartement;40;2
20967;63103;19;;RUE;DU DOCTEUR GUBLER;40,90;Appartement;58;2
20968;64284;28;;RUE;LOUIS DARAN;73,87;Appartement;68;4
20969;64335;9197;;;CHEMIN DE LONS;88,41;Maison;87;5
20970;64445;1;;RUE;JEANNE D ARC;77,08;Appartement;68;3
20971;64445;2;;RUE;DES ALLIES;88,39;Appartement;88;4
20972;64445;43;T;AV;DU LOUP;67,65;Appartement;67;3
20973;65440;27;;RUE;EMILE PEREIRE;65,38;Appartement;65;4
20974;66003;21;;RUE;DE LA GUIXERA;33,93;Appartement;39;1
20975;69024;;;PL;DE LA LIBERATION;66,05;Appartement;67;3
20976;69034;3;;;GRANDE RUE DE SAINT CLAIR;33,80;Appartement;37;1
20977;69034;86;;;GRANDE RUE DE SAINT CLAIR;43,92;Appartement;37;1
20978;69081;9001;;CHE;DE L ETANG;60,13;Appartement;56;3
20979;69149;25;;AV;JEAN JAURES;43,56;Appartement;60;1
20980;69154;120;;RTE;DE LA CROIX DU BAN;81,20;Appartement;84;4
20981;69154;120;;RTE;DE LA CROIX DU BAN;77,60;Appartement;78;4
20982;69235;29;;RUE;DES JARDINS;55,14;Appartement;53;2
20983;69256;45;;AV;GEORGES ROUGE;89,30;Appartement;91;5
20984;69264;831;;RUE;NATIONALE;69,34;Appartement;90;4
20985;69264;660;;BD;PIERRE PASQUIER;97,57;Maison;97;5
20986;69266;72;;RUE;MAGENTA;79,00;Appartement;77;4
20987;69287;105;;RTE;NATIONALE 6;83,63;Appartement;78;3
20988;69381;11;;RUE;ROYALE;26,35;Appartement;30;1
20989;69381;29;;RUE;ROMARIN;30,65;Appartement;35;1
20990;69382;10;;RUE;DE LA BARRE;55,25;Appartement;52;1
20991;69382;13;;RUE;DUGAS MONTBEL;27,58;Appartement;31;1
20992;69383;39;;RUE;DU LAC;86,69;Appartement;84;3
20993;69384;80;;QUAI;JOSEPH GILLET;72,60;Appartement;74;3
20994;69384;36;;RUE;LOUIS THEVENET;42,51;Appartement;42;2
20995;69386;25;;RUE;BARREME;57,88;Appartement;59;3
20996;69386;71;;RUE;MASSENA;36,00;Appartement;36;1
20997;69387;12;;RUE;SABINE ET MIRON ZLATIN;38,80;Appartement;38;2
20998;69387;208;;AV;JEAN JAURES;17,86;Appartement;18;1
20999;69388;33;;RUE;ST NESTOR;66,90;Appartement;66;3
21000;69388;32;;RUE;DES HERIDEAUX;17,65;Appartement;18;1
21001;69388;248;;RTE;DE VIENNE;64,52;Appartement;64;3
21002;70311;12;;RUE;JULES JEANNENEY;61,19;Appartement;60;2
21003;72003;6;;PAS;DE LA CHESNAIE;74,15;Appartement;71;3
21004;72181;48;;AV;DU GENERAL DE GAULLE;85,01;Appartement;85;3
21005;72181;43;;RUE;DE RICHEBOURG;17,77;Appartement;17;1
21006;72181;4;;RUE;COEFFORT;49,06;Appartement;48;2
21007;73065;232;;RUE;FRANCOIS DESCOTES;76,75;Appartement;77;3
21008;74056;173;;RUE;LA MOLLARD;40,24;Appartement;42;2
21009;74108;542;;ALL;DE LA PLAGE;69,81;Appartement;45;2
21010;74205;895;;RTE;DE CHATEAUBLANC;23,13;Appartement;23;2
21011;74241;43;;RES;MONT BLANC;18,48;Appartement;29;1
21012;74276;972;;RTE;DE CHEVALY;26,23;Appartement;27;2
21013;75102;8;;RUE;POISSONNIERE;28,16;Appartement;29;1
21014;75103;79;;RUE;NOTRE DAME DE NAZARETH;65,64;Appartement;66;4
21015;75103;3;;RUE;DU BOURG L ABBE;130,55;Appartement;133;5
21016;75104;15;;QUAI;DE BOURBON;77,19;Appartement;80;3
21017;75105;14;;RUE;LINNE;67,11;Appartement;68;4
21018;75105;78;;RUE;GAY LUSSAC;30,10;Appartement;28;2
21019;75106;31;;RUE;MAZARINE;59,61;Appartement;59;3
21020;75106;50;;RUE;MONSIEUR LE PRINCE;27,00;Appartement;6;1
21021;75106;86;;RUE;DU CHERCHE-MIDI;22,55;Appartement;25;2
21022;75106;58;;RUE;DU CHERCHE MIDI;17,92;Appartement;16;1
21023;75107;12;;RUE;DU GAL BERTRAND;32,50;Appartement;33;2
21024;75108;69;;RUE;DU FAUBOURG SAINT HONORE;61,07;Appartement;63;3
21025;75109;32;;RUE;PIERRE FONTAINE;43,65;Appartement;63;3
21026;75109;3;;RUE;DE ROCHECHOUART;34,34;Appartement;37;3
21027;75109;6;;RUE;DE L AGENT BAILLY;28,63;Appartement;48;2
21028;75110;70;;RUE;DU FBG ST MARTIN;60,22;Appartement;60;2
21029;75110;12;;BD;DE MAGENTA;74,68;Appartement;74;3
21030;75110;27;;RUE;YVES TOUDIC;68,24;Appartement;64;4
21031;75110;25;;RUE;LA GRANGE AUX BELLES;0,50;Appartement;14;1
21032;75111;22;;RUE;DU FAUBOURG DU TEMPLE;58,11;Appartement;65;2
21033;75111;10;;RUE;DU GRAND PRIEURE;52,08;Appartement;50;2
21034;75111;7;;RUE;ROCHEBRUNE;27,66;Appartement;38;2
21035;75111;10;;RUE;DE NICE;38,24;Appartement;38;1
21036;75112;26;;CRS;DE VINCENNES;55,19;Appartement;55;3
21037;75112;40;;RUE;DE TOUL;60,03;Appartement;60;2
21038;75112;58;;RUE;CROZATIER;79,10;Appartement;110;4
21039;75112;152;;RUE;DE CHARENTON;7,28;Appartement;10;1
21040;75113;16;;RUE;DU DESSOUS DES BERGES;31,10;Appartement;30;2
21041;75113;20;;RUE;AUGUSTE PERRET;49,80;Appartement;51;3
21042;75114;18;;RUE;NANSOUTY;34,54;Appartement;34;2
21043;75114;208;;AV;DU MAINE;76,25;Appartement;51;3
21044;75114;6;;RUE;LOUIS MORARD;40,14;Appartement;40;3
21045;75114;68;;RUE;DIDOT;28,88;Appartement;38;2
21046;75115;3;;PL;JACQUES MARETTE;56,32;Appartement;56;3
21047;75115;41;;RUE;DES MORILLONS;56,72;Appartement;58;3
21048;75115;220;;RUE;DE VAUGIRARD;50,18;Appartement;49;3
21049;75115;204;;RUE;DE VAUGIRARD;16,08;Appartement;16;1
21050;75115;10;;RUE;DES VOLONTAIRES;35,39;Appartement;36;2
21051;75115;43;;RUE;FONDARY;28,20;Appartement;28;2
21052;75115;57;;RUE;FONDARY;62,82;Appartement;68;4
21053;75115;6;;RUE;VIOLET;32,03;Appartement;36;2
21054;75115;4;;RUE;JUGE;9,83;Appartement;9;1
21055;75115;53;;RUE;DES CEVENNES;18,53;Appartement;12;1
21056;75116;103;;AV;DE VERSAILLES;74,02;Appartement;74;2
21057;75116;15;;RUE;D AUTEUIL;22,31;Appartement;22;1
21058;75116;47;;RUE;ERLANGER;33,25;Appartement;33;1
21059;75116;22;;RUE;SPONTINI;78,02;Appartement;80;3
21060;75117;12;;RUE;TROYON;72,05;Appartement;80;2
21061;75117;14;B;RUE;JADIN;61,44;Appartement;61;2
21062;75117;12;;RUE;BARYE;90,00;Appartement;87;4
21063;75117;37;;RUE;JOUFFROY D'ABBANS;92,29;Appartement;85;5
21064;75117;123;;RUE;CARDINET;23,50;Appartement;20;1
21065;75117;15;;RUE;BROCHANT;77,38;Appartement;78;4
21066;75117;52;;RUE;DES MOINES;42,45;Appartement;44;2
21067;75117;5;;PAS;LEGENDRE;36,46;Appartement;35;2
21068;75117;176;;RUE;LEGENDRE;39,90;Appartement;36;2
21069;75117;8;;RUE;LACAILLE;83,83;Appartement;84;4
21070;75118;7;;RUE;EUGENE CARRIERE;37,21;Appartement;35;2
21071;75118;14;;RUE;ETEX;54,86;Appartement;52;2
21072;75118;100;;BD;DE CLICHY;126,37;Appartement;126;5
21073;75118;20;;RUE;JOSEPH DE MAISTRE;26,46;Appartement;30;2
21074;75118;12;;RUE;FONTAINE DU BUT;12,85;Appartement;13;1
21075;75118;6;;RUE;GUSTAVE ROUANET;31,72;Appartement;33;2
21076;75118;116;;RUE;CHAMPIONNET;9,56;Appartement;9;1
21077;75118;1;;RUE;DE L ABBE PATUREAU;56,15;Appartement;54;2
21078;75119;16;;RUE;BARBANEGRE;46,60;Appartement;48;3
21079;75119;241;;RUE;DE CRIMEE;10,67;Appartement;10;1
21080;75119;24;;RUE;EUGENE JUMIN;51,54;Appartement;53;3
21081;75120;135;;BD;DAVOUT;19,43;Appartement;19;1
21082;75120;48;;RUE;DES HAIES;40,49;Appartement;40;1
21083;76351;28;;RUE;DAGUERRE;72,58;Appartement;71;3
21084;76451;25;;GR;GRANDE RUE;68,40;Appartement;68;4
21085;76540;6;;RUE;CROIX VERTE;58,70;Appartement;61;3
21086;76540;14;;RUE;DU LIEU DE SANTE;40,48;Appartement;50;2
21087;76540;5;;RUE;STENDHAL;84,20;Appartement;83;5
21088;76647;1;;SQ;ELISEE LECAT;69,67;Appartement;66;4
21089;77058;4;;RUE;CESAR;40,06;Appartement;40;1
21090;77108;2;;RUE;JEANNE D ARC;40,34;Appartement;50;2
